# x	y	z	x_t	y_t	z_t	B_x	B_y	B_z	B_normal
-0.0050000000000000001	-0.0050000000000000001	0	-0.0050000000000000001	-0.0050000000000000001	0	-0.0008477013638158484	-0.0008477013638158484	0.098398064703147978	0.098398064703147978
-0.0050000000000000001	-0.004795918367346939	0	-0.0050000000000000001	-0.004795918367346939	0	-0.00084955991579140013	-0.00081488400086107411	0.098709754295441918	0.098709754295441918
-0.0050000000000000001	-0.004591836734693878	0	-0.0050000000000000001	-0.004591836734693878	0	-0.00085134489922452587	-0.00078184735643078496	0.099009271790106282	0.099009271790106282
-0.0050000000000000001	-0.0043877551020408169	0	-0.0050000000000000001	-0.0043877551020408169	0	-0.00085305582865393835	-0.00074860001290036435	0.099296515060154925	0.099296515060154925
-0.0050000000000000001	-0.004183673469387755	0	-0.0050000000000000001	-0.004183673469387755	0	-0.00085469223785784464	-0.00071515064800346123	0.099571386009173896	0.099571386009173896
-0.0050000000000000001	-0.0039795918367346939	0	-0.0050000000000000001	-0.0039795918367346939	0	-0.00085625368009441282	-0.00068150803109550827	0.099833790624154317	0.099833790624154317
-0.0050000000000000001	-0.0037755102040816328	0	-0.0050000000000000001	-0.0037755102040816328	0	-0.00085773972833269314	-0.00064768101935329489	0.10008363902633614	0.10008363902633614
-0.0050000000000000001	-0.0035714285714285718	0	-0.0050000000000000001	-0.0035714285714285718	0	-0.00085914997547423787	-0.00061367855391013964	0.10032084551998426	0.10032084551998426
-0.0050000000000000001	-0.0033673469387755102	0	-0.0050000000000000001	-0.0033673469387755102	0	-0.00086048403456524662	-0.00057950965593164903	0.10054532863906547	0.10054532863906547
-0.0050000000000000001	-0.0031632653061224487	0	-0.0050000000000000001	-0.0031632653061224487	0	-0.00086174153899972296	-0.00054518342263249885	0.10075701119175919	0.10075701119175919
-0.0050000000000000001	-0.0029591836734693877	0	-0.0050000000000000001	-0.0029591836734693877	0	-0.00086292214271269812	-0.00051070902323813389	0.10095582030277805	0.10095582030277805
-0.0050000000000000001	-0.0027551020408163266	0	-0.0050000000000000001	-0.0027551020408163266	0	-0.00086402552036224552	-0.00047609569489348531	0.10114168745343406	0.10114168745343406
-0.0050000000000000001	-0.0025510204081632655	0	-0.0050000000000000001	-0.0025510204081632655	0	-0.00086505136750261106	-0.00044135273852172007	0.10131454851941188	0.10131454851941188
-0.0050000000000000001	-0.002346938775510204	0	-0.0050000000000000001	-0.002346938775510204	0	-0.00086599940074565866	-0.00040648951463576717	0.10147434380621488	0.10147434380621488
-0.0050000000000000001	-0.002142857142857143	0	-0.0050000000000000001	-0.002142857142857143	0	-0.00086686935791244321	-0.00037151543910535185	0.10162101808224662	0.10162101808224662
-0.0050000000000000001	-0.0019387755102040815	0	-0.0050000000000000001	-0.0019387755102040815	0	-0.00086766099817299957	-0.00033643997888339097	0.10175452060947338	0.10175452060947338
-0.0050000000000000001	-0.0017346938775510204	0	-0.0050000000000000001	-0.0017346938775510204	0	-0.00086837410217563025	-0.00030127264769355683	0.10187480517166744	0.10187480517166744
-0.0050000000000000001	-0.0015306122448979593	0	-0.0050000000000000001	-0.0015306122448979593	0	-0.00086900847216492608	-0.00026602300168313128	0.10198183010016627	0.10198183010016627
-0.0050000000000000001	-0.0013265306122448978	0	-0.0050000000000000001	-0.0013265306122448978	0	-0.00086956393208813894	-0.00023070063504381834	0.10207555829714719	0.10207555829714719
-0.0050000000000000001	-0.0011224489795918367	0	-0.0050000000000000001	-0.0011224489795918367	0	-0.00087004032769033958	-0.00019531517560394997	0.10215595725637239	0.10215595725637239
-0.0050000000000000001	-0.00091836734693877525	0	-0.0050000000000000001	-0.00091836734693877525	0	-0.00087043752659697604	-0.00015987628039535809	0.10222299908139572	0.10222299908139572
-0.0050000000000000001	-0.00071428571428571418	0	-0.0050000000000000001	-0.00071428571428571418	0	-0.00087075541838649263	-0.00012439363119808727	0.10227666050120507	0.10227666050120507
-0.0050000000000000001	-0.00051020408163265311	0	-0.0050000000000000001	-0.00051020408163265311	0	-0.00087099391464988982	-8.8876930066319595e-05	0.10231692288327761	0.10231692288327761
-0.0050000000000000001	-0.00030612244897959204	0	-0.0050000000000000001	-0.00030612244897959204	0	-0.00087115294903802388	-5.3335894839057965e-05	0.10234377224405176	0.10234377224405176
-0.0050000000000000001	-0.00010204081632653097	0	-0.0050000000000000001	-0.00010204081632653097	0	-0.00087123247729821766	-1.7780254638740089e-05	0.1023571992567817	0.1023571992567817
-0.0050000000000000001	0.00010204081632653097	0	-0.0050000000000000001	0.00010204081632653097	0	-0.00087123247729821766	1.7780254638740089e-05	0.1023571992567817	0.1023571992567817
-0.0050000000000000001	0.00030612244897959204	0	-0.0050000000000000001	0.00030612244897959204	0	-0.00087115294903802388	5.3335894839057965e-05	0.10234377224405176	0.10234377224405176
-0.0050000000000000001	0.00051020408163265311	0	-0.0050000000000000001	0.00051020408163265311	0	-0.00087099391464988982	8.8876930066319595e-05	0.10231692288327761	0.10231692288327761
-0.0050000000000000001	0.00071428571428571418	0	-0.0050000000000000001	0.00071428571428571418	0	-0.00087075541838649263	0.00012439363119808727	0.10227666050120507	0.10227666050120507
-0.0050000000000000001	0.00091836734693877525	0	-0.0050000000000000001	0.00091836734693877525	0	-0.00087043752659697604	0.00015987628039535809	0.10222299908139572	0.10222299908139572
-0.0050000000000000001	0.0011224489795918372	0	-0.0050000000000000001	0.0011224489795918372	0	-0.00087004032769033958	0.00019531517560394989	0.10215595725637239	0.10215595725637239
