# z	B_z
-0.0050000000000000001 0.11685827510839315
-0.0048989898989898993 0.11646887138007826
-0.0047979797979797977 0.11608738410391525
-0.0046969696969696969 0.1157137699617333
-0.0045959595959595961 0.11534798658509481
-0.0044949494949494953 0.11498999254797354
-0.0043939393939393945 0.11463974735959982
-0.0042929292929292928 0.11429721145748467
-0.004191919191919192 0.11396234620061441
-0.0040909090909090912 0.11363511386282679
-0.0039898989898989896 0.1133154776263447
-0.0038888888888888888 0.11300340157548792
-0.003787878787878788 0.11269885069054543
-0.0036868686868686872 0.11240179084181839
-0.003585858585858586 0.11211218878381933
-0.0034848484848484847 0.11183001214963992
-0.0033838383838383839 0.11155522944547007
-0.0032828282828282832 0.11128781004528462
-0.0031818181818181819 0.11102772418568377
-0.0030808080808080807 0.11077494296088158
-0.0029797979797979799 0.11052943831785877
-0.0028787878787878791 0.11029118305166163
-0.0027777777777777779 0.11006015080085681
-0.0026767676767676767 0.10983631604312495
-0.0025757575757575759 0.10961965409102202
-0.0024747474747474751 0.10941014108786615
-0.0023737373737373738 0.1092077540037837
-0.0022727272727272726 0.10901247063190049
-0.0021717171717171718 0.1088242695846712
-0.002070707070707071 0.10864313029035352
-0.0019696969696969698 0.10846903298962123
-0.0018686868686868686 0.10830195873232923
-0.0017676767676767678 0.10814188937440081
-0.001666666666666667 0.10798880757486873
-0.0015656565656565658 0.10784269679304438
-0.0014646464646464645 0.10770354128583377
-0.0013636363636363637 0.10757132610517912
-0.001262626262626263 0.10744603709564161
-0.0011616161616161617 0.10732766089212099
-0.0010606060606060605 0.10721618491770765
-0.0009595959595959597 0.10711159738166819
-0.00085858585858585891 0.10701388727755563
-0.00075757575757575812 0.1069230443814746
-0.00065656565656565646 0.10683905925045183
-0.00055555555555555566 0.10676192322096054
-0.00045454545454545487 0.10669162840755646
-0.00035353535353535321 0.10662816770166411
-0.00025252525252525242 0.10657153477047815
-0.00015151515151515162 0.10652172405600359
-5.050505050505083e-05 0.10647873077422083
5.0505050505049963e-05 0.10644255091438613
0.00015151515151515162 0.1064131812384555
0.00025252525252525242 0.10639061928064301
0.00035353535353535321 0.10637486334710439
0.00045454545454545487 0.10636591251575508
0.00055555555555555566 0.10636376663620969
0.00065656565656565646 0.10636842632985948
0.00075757575757575725 0.1063798929900745
0.00085858585858585804 0.10639816878253348
0.0009595959595959597 0.10642325664568911
0.0010606060606060605 0.10645516029135511
0.0011616161616161613 0.10649388420543511
0.001262626262626263 0.10653943364876535
0.0013636363636363637 0.10659181465810592
0.0014646464646464645 0.10665103404724599
0.0015656565656565653 0.10671709940825579
0.0016666666666666661 0.10679001911285739
0.0017676767676767678 0.10686980231393592
0.0018686868686868686 0.10695645894717935
0.0019696969696969694 0.10704999973285412
0.002070707070707071 0.1071504361777102
0.0021717171717171718 0.10725778057702749
0.0022727272727272726 0.10737204601678667
0.0023737373737373734 0.10749324637599143
0.0024747474747474742 0.10762139632910772
0.0025757575757575759 0.1077565113486592
0.0026767676767676767 0.10789860770794478
0.0027777777777777775 0.10804770248390738
0.0028787878787878791 0.1082038135601345
0.002979797979797979 0.10836695963000233
0.0030808080808080807 0.10853716019996108
0.0031818181818181824 0.10871443559296817
0.0032828282828282823 0.10889880695205233
0.0033838383838383839 0.10909029624403632
0.0034848484848484839 0.1092889262633987
0.0035858585858585855 0.10949472063628501
0.0036868686868686872 0.10970770382466392
0.0037878787878787871 0.10992790113063815
0.0038888888888888888 0.11015533870090376
0.0039898989898989904 0.1103900435313576
0.0040909090909090904 0.1106320434718709
0.004191919191919192 0.11088136723120187
0.0042929292929292937 0.11113804438207658
0.0043939393939393936 0.11140210536642536
0.0044949494949494953 0.11167358150077311
0.0045959595959595952 0.11195250498180147
0.0046969696969696969 0.11223890889206012
0.0047979797979797985 0.11253282720585947
0.0048989898989898984 0.11283429479531067
0.0050000000000000001 0.1131433474365492
